"count","CDTA2020","Mt Strada","ei_mts","diff","ei_reg1","diff_reg1"
2084,"BK01",196322.601375008,1627.93779205948,456.062207940516,1253.01113629982,830.988863700182
1488,"BK02",117528.463251635,974.564444592608,513.435555407392,1135.5455478854,352.454452114597
1667,"BK03",113598.204791234,941.974125212994,725.025874787006,1129.68635412217,537.313645877829
893,"BK04",83502.8636805049,692.418838068585,200.581161931415,1084.8204918093,-191.820491809303
2383,"BK05",227786.964426184,1888.84522378329,494.15477621671,1299.91792413858,1083.08207586142
999,"BK06",129394.499981013,1072.95948163076,-73.959481630762,1153.23532811221,-154.235328112214
1171,"BK07",119664.052154702,992.273082616226,178.726917383774,1138.72926450551,32.2707354944948
1213,"BK08",63648.2716216861,527.781447711604,685.218552288396,1055.22144555455,157.778554445453
1188,"BK09",60130.7944979461,498.613975895647,689.386024104353,1049.97762247437,138.022377525634
1152,"BK10",150438.281807866,1247.45781999757,-95.4578199975736,1184.60720771683,-32.6072077168292
1494,"BK11",162131.342370551,1344.41851154054,149.58148845946,1202.03911663892,291.960883361082
2184,"BK12",153035.599193888,1268.99518299635,915.004817003652,1188.47926498295,995.520735017054
932,"BK13",105126.313255807,871.723872291751,60.2761277082485,1117.05653485016,-185.05653485016
2079,"BK14",119128.940246702,987.835850774795,1091.1641492252,1137.93152451319,941.068475486806
1860,"BK15",198004.071145291,1641.88080303263,218.119196967366,1255.51785622431,604.482143775686
1358,"BK16",81189.688644801,673.237627989376,684.762372010624,1081.37203138895,276.627968611053
2153,"BK17",142033.120919994,1177.76090806857,975.239091931432,1172.07686989061,980.923130109391
2002,"BK18",280259.504511648,2323.95575335147,-321.955753351468,1378.14351227925,623.856487720751
92,"BK55",4947.59734648034,41.0262529317416,50.9737470682584,967.711011297833,-875.711011297833
3,"BK56",4722.81901781045,39.1623557873741,-36.1623557873741,967.375913798591,-964.375913798591
1407,"BX01",78378.2453222001,649.924699151638,757.075300848362,1077.18075711337,329.819242886634
769,"BX02",71005.5542551077,588.789188857676,180.210811142324,1066.18961595718,-297.189615957184
1008,"BX03",63098.0674460894,523.21906842094,484.78093157906,1054.40120614621,-46.4012061462131
1316,"BX04",84014.52131506,696.661583397214,619.338416602786,1085.58326638291,230.416733617091
1348,"BX05",62351.719495387,517.030234193678,830.969765806322,1053.28855737209,294.711442627911
1059,"BX06",67490.1963541014,559.6392899689,499.3607100311,1060.94895219509,-1.94895219508521
1306,"BX07",74260.2035957887,615.777251487691,690.222748512309,1071.04161775568,234.958382244318
660,"BX08",105233.153043458,872.609804562385,-212.609804562385,1117.21581063921,-457.215810639215
1252,"BX09",140658.185112599,1166.3597247772,85.6402752228014,1170.02712802536,81.9728719746408
832,"BX10",202779.004117409,1681.47529590009,-849.475295900086,1262.63628310946,-430.636283109459
1081,"BX11",149096.689027626,1236.33312231524,-155.333122315236,1182.60717333487,-101.607173334872
1570,"BX12",195901.40502298,1624.44516586901,-54.4451658690107,1252.38322058797,317.616779412027
38,"BX26",12474.9301697328,103.444076914092,-65.4440769140921,978.93269098535,-940.93269098535
76,"BX27",9963.04069600182,82.6150955582881,-6.61509555828806,975.187988878173,-899.187988878173
7,"BX28",16314.368688365,135.281303096884,-128.281303096884,984.656491200868,-977.656491200868
1032,"MN01",72296.4648776826,599.493622142189,432.506377857811,1068.11409383692,-36.1140938369183
1324,"MN02",72112.2365119966,597.96597164872,726.03402835128,1067.83944785572,256.160552144285
1855,"MN03",72404.7027576183,600.391147613253,1254.60885238675,1068.27545388931,786.724546110695
1966,"MN04",66268.3512169419,549.507558518242,1416.49244148176,1059.1274365163,906.872563483696
2672,"MN05",63862.0792237822,529.55437387112,2142.44562612888,1055.54018799384,1616.45981200616
2394,"MN06",67153.255111979,556.845320360139,1837.15467963986,1060.44664323899,1333.55335676101
1219,"MN07",75620.1622904335,627.054242211867,591.945757788133,1073.06903187671,145.930968123288
1618,"MN08",81966.6009840608,679.679906918751,938.320093081249,1082.53024527708,535.469754722925
740,"MN09",53536.4958013445,443.933017182082,296.066982817918,1040.14690162348,-300.146901623484
1237,"MN10",56843.6496715283,471.356455602929,765.643544397071,1045.07717669966,191.922823300344
1508,"MN11",76898.9548005583,637.658190207942,870.341809792058,1074.97544418402,433.024555815985
