"CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","COLLISION_ID","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5"
"04/15/2021",15:18:00,"BROOKLYN",11209,40.620487,-74.029305,"(40.620487, -74.029305)","4 AVENUE","FOREST PLACE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4408063,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"07/08/2021",22:03:00,"MANHATTAN",10002,40.721474,-73.98383,"(40.721474, -73.98383)","EAST HOUSTON STREET","CLINTON STREET",NA,0,1,0,0,0,1,0,0,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4456653,"Sedan","Bike",NA,NA,NA
"08/27/2021",09:15:00,"MANHATTAN",10035,40.80574,-73.942764,"(40.80574, -73.942764)","5 AVENUE","WEST 124 STREET",NA,1,1,1,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4457151,"Sedan",NA,NA,NA,NA
"09/11/2021",18:18:00,"BROOKLYN",11238,40.684204,-73.96806,"(40.684204, -73.96806)","VANDERBILT AVENUE","GATES AVENUE",NA,3,1,1,1,0,0,2,0,"Unsafe Speed","Unspecified",NA,NA,NA,4457191,"Sedan","Sedan",NA,NA,NA
"04/08/2021",19:55:00,"BRONX",10459,40.830307,-73.89873,"(40.830307, -73.89873)",NA,NA,"1281      UNION AVENUE",0,1,0,0,0,0,0,0,"Driver Inexperience",NA,NA,NA,NA,4407509,"E-Bike",NA,NA,NA,NA
"04/19/2021",19:13:00,"MANHATTAN",10039,40.82289,-73.94208,"(40.82289, -73.94208)",NA,NA,"300       WEST 145 STREET",0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4408961,"Tractor Truck Diesel",NA,NA,NA,NA
"12/17/2021",23:50:00,"STATEN ISLAND",10312,40.547924,-74.166954,"(40.547924, -74.166954)",NA,NA,"3687      RICHMOND AVENUE",1,1,0,0,0,0,1,1,"Unsafe Speed",NA,NA,NA,NA,4487497,"Sedan",NA,NA,NA,NA
"12/16/2021",00:15:00,"BRONX",10461,40.84955,-73.85305,"(40.84955, -73.85305)","MORRIS PARK AVENUE","HAIGHT AVENUE",NA,0,2,0,0,0,0,0,2,"Unsafe Speed",NA,NA,NA,NA,4487222,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"04/21/2021",00:55:00,"QUEENS",11419,40.692135,-73.83485,"(40.692135, -73.83485)","ATLANTIC AVENUE","111 STREET",NA,3,1,0,0,0,0,3,1,"Alcohol Involvement","Unspecified","Unspecified",NA,NA,4409176,"Sedan","Pick-up Truck","Station Wagon/Sport Utility Vehicle",NA,NA
"04/24/2021",03:43:00,"BROOKLYN",11226,40.643063,-73.95166,"(40.643063, -73.95166)","ROGERS AVENUE","CLARENDON ROAD",NA,0,1,0,0,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,4410388,"Sedan","E-Bike",NA,NA,NA
